row number,col number,cluster_unique
25,37,NOWC01
25,38,NOWC01
25,39,NOWC01
26,10,NOWC02
26,11,NOWC02
26,12,NOWC02
26,13,NOWC02
26,14,NOWC02
26,15,NOWC02
26,16,NOWC02
26,17,NOWC02
26,18,NOWC02
26,19,NOWC02
26,20,NOWC02
26,21,NOWC02
26,22,NOWC02
26,23,NOWC02
26,24,NOWC02
26,25,NOWC02
26,26,NOWC02
26,27,NOWC02
26,28,NOWC02
26,29,NOWC02
26,30,NOWC01
26,31,NOWC02
26,32,NOWC02
26,33,NOWC02
26,34,NOWC01
26,35,NOWC01
26,36,NOWC01
26,37,NOWC01
26,38,NOWC01
27,10,NOWC02
27,11,NOWC02
27,12,NOWC02
27,13,NOWC02
27,14,NOWC02
27,15,NOWC02
27,16,NOWC02
27,17,NOWC02
27,18,NOWC02
27,19,NOWC02
27,20,NOWC02
27,21,NOWC02
27,22,NOWC02
27,23,NOWC02
27,24,NOWC02
27,25,NOWC02
27,26,NOWC02
27,27,NOWC02
27,28,NOWC02
27,29,NOWC02
27,30,NOWC02
27,31,NOWC02
27,32,NOWC02
27,33,NOWC02
27,34,NOWC02
27,35,NOWC01
27,36,NOWC01
27,37,NOWC02
27,38,NOWC01
28,11,NOWC02
28,12,NOWC02
28,13,NOWC02
28,14,NOWC02
28,15,NOWC02
28,16,NOWC02
28,17,NOWC02
28,18,NOWC02
28,19,NOWC02
28,20,NOWC02
28,21,NOWC02
28,22,NOWC02
28,23,NOWC02
28,24,NOWC02
28,25,NOWC02
28,26,NOWC02
28,27,NOWC02
28,28,NOWC02
28,29,NOWC02
28,30,NOWC01
28,31,NOWC02
28,32,NOWC02
28,33,NOWC02
28,34,NOWC02
28,35,NOWC02
28,36,NOWC02
28,37,NOWC02
28,38,NOWC01
28,39,NOWC02
29,12,NOWC02
29,13,NOWC02
29,14,NOWC02
29,15,NOWC02
29,16,NOWC02
29,17,NOWC02
29,18,NOWC02
29,19,NOWC02
29,20,NOWC02
29,21,NOWC02
29,22,NOWC02
29,23,NOWC02
29,25,NOWC02
29,26,NOWC02
29,27,NOWC02
29,28,NOWC02
29,29,NOWC02
29,30,NOWC02
29,31,NOWC02
29,32,NOWC02
29,33,NOWC02
29,34,NOWC02
29,35,NOWC02
29,36,NOWC02
29,37,NOWC02
29,38,NOWC01
29,39,NOWC02
29,40,NOWC02
30,13,NOWC02
30,14,NOWC02
30,15,NOWC02
30,16,NOWC02
30,17,NOWC02
30,18,NOWC02
30,19,NOWC02
30,20,NOWC02
30,21,NOWC02
30,27,NOWC02
30,28,NOWC02
30,29,NOWC02
30,30,NOWC02
30,31,NOWC02
30,32,NOWC02
30,33,NOWC02
30,34,NOWC02
30,35,NOWC02
30,36,NOWC02
30,37,NOWC02
30,38,NOWC02
30,39,NOWC02
30,40,NOWC02
30,41,NOWC01
31,17,NOWC02
31,18,NOWC02
31,19,NOWC02
31,28,NOWC02
31,29,NOWC02
31,30,NOWC02
31,31,NOWC02
31,32,NOWC02
31,33,NOWC02
31,34,NOWC02
31,35,NOWC02
31,36,NOWC02
31,37,NOWC02
31,38,NOWC02
31,39,NOWC02
31,40,NOWC02
31,41,NOWC02
32,19,NOWC02
32,29,NOWC02
32,30,NOWC02
32,31,NOWC02
32,32,NOWC02
32,33,NOWC02
32,34,NOWC02
32,35,NOWC02
32,36,NOWC02
32,37,NOWC02
32,38,NOWC02
32,39,NOWC02
32,40,NOWC02
32,41,NOWC02
32,42,NOWC02
32,43,NOWC01
32,44,NOWC01
33,30,NOWC02
33,31,NOWC02
33,32,NOWC02
33,33,NOWC02
33,34,NOWC02
33,35,NOWC02
33,36,NOWC02
33,37,NOWC02
33,38,NOWC02
33,39,NOWC02
33,40,NOWC02
33,41,NOWC02
33,42,NOWC02
33,43,NOWC01
33,44,NOWC01
34,32,NOWC02
34,34,NOWC02
34,35,NOWC02
34,36,NOWC02
34,37,NOWC02
34,38,NOWC02
34,39,NOWC02
34,40,NOWC02
34,41,NOWC02
34,42,NOWC02
34,43,NOWC02
35,37,NOWC02
35,38,NOWC02
35,39,NOWC02
35,40,NOWC02
35,41,NOWC02
35,42,NOWC02
35,43,NOWC02
36,38,NOWC02
36,39,NOWC02
21,64,RRDC02
21,68,RRDC02
21,69,RRDC02
22,63,RRDC02
22,64,RRDC02
22,65,RRDC02
22,66,RRDC02
22,67,RRDC02
22,68,RRDC02
22,69,RRDC02
22,70,RRDC02
23,39,RRDC02
23,40,RRDC02
23,42,RRDC02
23,43,RRDC02
23,44,RRDC02
23,63,RRDC02
23,64,RRDC02
23,65,RRDC02
23,66,RRDC02
23,67,RRDC02
23,68,RRDC02
23,69,RRDC02
23,70,RRDC02
23,71,RRDC02
24,40,RRDC02
24,41,RRDC02
24,42,RRDC02
24,43,RRDC02
24,44,RRDC02
24,46,RRDC01
24,63,RRDC02
24,64,RRDC02
24,65,RRDC02
24,66,RRDC02
24,67,RRDC02
24,68,RRDC02
24,69,RRDC02
24,70,RRDC02
25,40,RRDC02
25,41,RRDC02
25,42,RRDC02
25,43,RRDC02
25,44,RRDC01
25,45,RRDC01
25,46,RRDC01
25,47,RRDC01
25,48,RRDC01
25,61,RRDC02
25,62,RRDC02
25,63,RRDC01
25,64,RRDC02
25,65,RRDC02
25,66,RRDC02
25,67,RRDC02
25,68,RRDC02
26,39,RRDC02
26,40,RRDC02
26,41,RRDC02
26,42,RRDC02
26,43,RRDC02
26,44,RRDC02
26,45,RRDC01
26,46,RRDC01
26,47,RRDC01
26,48,RRDC01
26,60,RRDC01
26,61,RRDC02
26,62,RRDC02
26,63,RRDC01
26,64,RRDC02
26,65,RRDC02
26,66,RRDC02
26,67,RRDC02
26,70,RRDC02
27,39,RRDC02
27,40,RRDC02
27,41,RRDC02
27,42,RRDC02
27,43,RRDC02
27,44,RRDC01
27,45,RRDC01
27,46,RRDC01
27,47,RRDC01
27,48,RRDC01
27,49,RRDC01
27,53,RRDC01
27,54,RRDC01
27,55,RRDC01
27,59,RRDC01
27,60,RRDC02
27,61,RRDC01
27,62,RRDC01
27,63,RRDC01
27,64,RRDC01
27,65,RRDC01
27,66,RRDC01
27,68,RRDC02
28,40,RRDC02
28,41,RRDC02
28,42,RRDC02
28,43,RRDC02
28,44,RRDC01
28,45,RRDC01
28,46,RRDC01
28,47,RRDC01
28,48,RRDC01
28,49,RRDC01
28,50,RRDC01
28,51,RRDC01
28,52,RRDC01
28,53,RRDC01
28,54,RRDC01
28,55,RRDC01
28,56,RRDC01
28,57,RRDC01
28,58,RRDC01
28,59,RRDC01
28,60,RRDC01
28,61,RRDC01
28,62,RRDC01
28,63,RRDC01
28,64,RRDC01
28,65,RRDC01
28,66,RRDC01
28,67,RRDC01
28,68,RRDC01
28,69,RRDC01
29,41,RRDC02
29,42,RRDC02
29,43,RRDC02
29,44,RRDC01
29,45,RRDC01
29,46,RRDC01
29,47,RRDC01
29,48,RRDC01
29,49,RRDC01
29,50,RRDC01
29,51,RRDC01
29,52,RRDC01
29,53,RRDC01
29,54,RRDC01
29,55,RRDC01
29,56,RRDC01
29,57,RRDC01
29,58,RRDC01
29,59,RRDC01
29,60,RRDC01
29,61,RRDC01
29,62,RRDC01
29,63,RRDC01
29,64,RRDC01
29,65,RRDC01
29,67,RRDC01
29,68,RRDC01
30,42,RRDC02
30,43,RRDC02
30,44,RRDC01
30,45,RRDC01
30,46,RRDC01
30,47,RRDC01
30,48,RRDC01
30,49,RRDC01
30,50,RRDC01
30,51,RRDC01
30,52,RRDC01
30,53,RRDC01
30,54,RRDC01
30,55,RRDC01
30,56,RRDC01
30,57,RRDC01
30,58,RRDC01
30,59,RRDC01
